Date,Open,High,Low,Close,Volume,Company
2024-08-13,16.1,16.3,16.0,16.1,911510.0,SINGER (SRI LANKA) PLC
2024-08-14,16.1,16.2,16.0,16.2,65278.0,SINGER (SRI LANKA) PLC
2024-08-15,16.3,16.5,16.2,16.5,294019.0,SINGER (SRI LANKA) PLC
2024-08-16,16.2,16.4,16.2,16.3,75666.0,SINGER (SRI LANKA) PLC
2024-08-17,16.2,16.4,16.2,16.3,75666.0,SINGER (SRI LANKA) PLC
2024-08-18,16.2,16.4,16.2,16.3,75666.0,SINGER (SRI LANKA) PLC
2024-08-19,16.2,16.4,16.2,16.3,75666.0,SINGER (SRI LANKA) PLC
2024-08-20,16.0,16.0,16.0,16.0,134687.0,SINGER (SRI LANKA) PLC
2024-08-21,16.1,16.1,16.0,16.0,48351.0,SINGER (SRI LANKA) PLC
2024-08-23,16.0,16.1,15.8,16.0,47501.0,SINGER (SRI LANKA) PLC
2024-08-25,16.0,16.1,15.8,16.0,47501.0,SINGER (SRI LANKA) PLC
2024-08-26,15.8,15.9,15.1,15.2,112050.0,SINGER (SRI LANKA) PLC
2024-08-27,15.2,15.4,15.1,15.1,82647.0,SINGER (SRI LANKA) PLC
2024-08-30,15.2,15.2,15.0,15.0,238578.0,SINGER (SRI LANKA) PLC
2024-08-31,15.2,15.2,15.0,15.0,238578.0,SINGER (SRI LANKA) PLC
2024-09-01,15.2,15.2,15.0,15.0,238578.0,SINGER (SRI LANKA) PLC
2024-09-02,15.0,15.0,14.9,14.9,73838.0,SINGER (SRI LANKA) PLC
2024-09-03,14.9,15.0,14.7,15.0,28037.0,SINGER (SRI LANKA) PLC
2024-09-04,15.7,15.9,15.5,15.7,12676.0,SINGER (SRI LANKA) PLC
2024-09-05,15.8,16.0,15.3,15.5,133318.0,SINGER (SRI LANKA) PLC
2024-09-06,15.5,15.5,15.5,15.5,5450.0,SINGER (SRI LANKA) PLC
2024-09-07,15.5,15.5,15.5,15.5,5450.0,SINGER (SRI LANKA) PLC
2024-09-08,15.5,15.5,15.5,15.5,5450.0,SINGER (SRI LANKA) PLC
2024-09-09,15.6,15.6,15.3,15.4,556.0,SINGER (SRI LANKA) PLC
2024-09-10,15.3,15.6,15.2,15.6,14700.0,SINGER (SRI LANKA) PLC
2024-09-11,15.4,15.5,15.3,15.6,52.0,SINGER (SRI LANKA) PLC
2024-09-12,15.3,15.5,15.2,15.5,3751.0,SINGER (SRI LANKA) PLC
2024-09-13,15.5,15.5,15.5,15.5,42500.0,SINGER (SRI LANKA) PLC
2024-09-14,15.5,15.5,15.5,15.5,42500.0,SINGER (SRI LANKA) PLC
2024-09-15,15.5,15.5,15.5,15.5,42500.0,SINGER (SRI LANKA) PLC
2024-09-16,15.5,15.5,15.5,15.5,42500.0,SINGER (SRI LANKA) PLC
2024-09-17,15.5,15.5,15.5,15.5,42500.0,SINGER (SRI LANKA) PLC
2024-09-18,15.5,15.5,15.1,15.1,412300.0,SINGER (SRI LANKA) PLC
2024-09-19,15.4,15.7,15.0,15.1,1059977.0,SINGER (SRI LANKA) PLC
2024-09-21,15.1,15.1,14.9,15.0,387204.0,SINGER (SRI LANKA) PLC
2024-09-22,15.1,15.1,14.9,15.0,387204.0,SINGER (SRI LANKA) PLC
2024-09-23,15.5,15.5,15.3,15.5,92984.0,SINGER (SRI LANKA) PLC
2024-09-24,15.6,16.2,15.5,16.0,263862.0,SINGER (SRI LANKA) PLC
2024-09-25,16.3,17.2,16.1,17.0,1100194.0,SINGER (SRI LANKA) PLC
2024-09-26,17.3,17.3,16.5,16.7,433924.0,SINGER (SRI LANKA) PLC
2024-09-27,16.9,17.7,16.2,17.4,2802045.0,SINGER (SRI LANKA) PLC
2024-09-28,16.9,17.7,16.2,17.4,2802045.0,SINGER (SRI LANKA) PLC
2024-09-29,16.9,17.7,16.2,17.4,2802045.0,SINGER (SRI LANKA) PLC
2024-09-30,17.5,17.8,17.0,17.2,222404.0,SINGER (SRI LANKA) PLC
2024-10-01,17.4,17.6,16.9,17.4,803320.0,SINGER (SRI LANKA) PLC
2024-10-02,17.5,17.5,17.0,17.2,93340.0,SINGER (SRI LANKA) PLC
2024-10-03,17.0,17.5,16.9,17.2,193996.0,SINGER (SRI LANKA) PLC
2024-10-04,17.5,17.5,16.8,17.0,21010.0,SINGER (SRI LANKA) PLC
2024-10-05,17.5,17.5,16.8,17.0,21010.0,SINGER (SRI LANKA) PLC
2024-10-06,17.5,17.5,16.8,17.0,21010.0,SINGER (SRI LANKA) PLC
2024-10-07,17.1,17.4,16.9,16.9,266845.0,SINGER (SRI LANKA) PLC
2024-10-08,17.4,17.4,16.9,17.1,243543.0,SINGER (SRI LANKA) PLC
2024-10-09,17.1,17.1,16.8,16.9,381367.0,SINGER (SRI LANKA) PLC
2024-10-10,17.0,17.0,16.8,17.0,107033.0,SINGER (SRI LANKA) PLC
2024-10-11,17.0,17.7,16.9,17.5,866613.0,SINGER (SRI LANKA) PLC
2024-10-12,17.0,17.7,16.9,17.5,866613.0,SINGER (SRI LANKA) PLC
2024-10-13,17.0,17.7,16.9,17.5,866613.0,SINGER (SRI LANKA) PLC
2024-10-14,17.6,18.2,17.6,18.2,745050.0,SINGER (SRI LANKA) PLC
2024-10-15,18.2,18.2,17.8,18.0,236044.0,SINGER (SRI LANKA) PLC
2024-10-16,18.1,18.4,18.0,18.3,367948.0,SINGER (SRI LANKA) PLC
2024-10-17,18.1,18.4,18.0,18.3,367948.0,SINGER (SRI LANKA) PLC
2024-10-18,18.4,18.9,18.4,18.7,1040199.0,SINGER (SRI LANKA) PLC
2024-10-19,18.4,18.9,18.4,18.7,1040199.0,SINGER (SRI LANKA) PLC
2024-10-20,18.4,18.9,18.4,18.7,1040199.0,SINGER (SRI LANKA) PLC
2024-10-21,18.7,18.8,18.2,18.7,698663.0,SINGER (SRI LANKA) PLC
2024-10-22,18.1,18.8,18.1,18.2,316699.0,SINGER (SRI LANKA) PLC
2024-10-23,18.5,18.6,18.0,18.5,456680.0,SINGER (SRI LANKA) PLC
2024-10-24,18.5,19.2,18.5,19.0,2456838.0,SINGER (SRI LANKA) PLC
2024-10-25,19.1,19.2,18.8,19.0,577848.0,SINGER (SRI LANKA) PLC
2024-10-26,19.1,19.2,18.8,19.0,577848.0,SINGER (SRI LANKA) PLC
2024-10-27,19.1,19.2,18.8,19.0,577848.0,SINGER (SRI LANKA) PLC
2024-10-28,18.8,19.2,18.8,19.0,106701.0,SINGER (SRI LANKA) PLC
2024-10-29,19.0,19.5,19.0,19.2,351871.0,SINGER (SRI LANKA) PLC
2024-10-30,19.2,19.6,19.0,19.1,1249905.0,SINGER (SRI LANKA) PLC
2024-10-31,19.2,19.6,19.0,19.1,1249905.0,SINGER (SRI LANKA) PLC
2024-11-01,19.2,19.5,19.0,19.0,421443.0,SINGER (SRI LANKA) PLC
2024-11-02,19.2,19.5,19.0,19.0,421443.0,SINGER (SRI LANKA) PLC
2024-11-03,19.2,19.5,19.0,19.0,421443.0,SINGER (SRI LANKA) PLC
2024-11-04,19.0,19.7,18.8,19.3,465191.0,SINGER (SRI LANKA) PLC
